model,board,final_group_id,candidate_nets,spearman,top5_cost_capture,top5_overlap,ndcg5
CatBoost residual + relational,MAVRIC_Hardware_pcieduino,FG0187,41,0.9689895470383277,0.9899103222791205,0.8,0.9947369102479934
CatBoost residual + relational,Minitel_bbb-adapter,FG0197,33,0.9892203594327046,0.9611306516085779,0.6,0.9755657297312462
CatBoost residual + relational,Minitel_driver_board,FG0197,32,0.9896434832142539,0.992713293218334,0.8,0.9725988735902144
CatBoost residual + relational,Minitel_video_output_stage,FG0197,18,0.9994838709333603,1.0,1.0,1.0000000000000002
CatBoost residual + relational,MonApollo_analog-board,FG0199,353,0.9923532579582005,1.0,1.0,1.0
CatBoost residual + relational,MySRaspiGW_MySRaspiGW,FG0201,7,0.642857142857143,0.9353693095217539,0.8,0.9272761418334643
CatBoost residual + relational,MySRaspiGW_MySRaspiGW_PA_LNA,FG0201,7,0.9549937104572924,1.0,0.8,0.9999304760062067
CatBoost residual + relational,MySRaspiGW_MySRaspiGW_PA_LNA_Pimoroni,FG0201,7,0.9642857142857145,0.9930615517633928,0.8,0.9960071562560054
CatBoost residual + relational,MySRaspiGW_MySRaspiGW_Pimoroni,FG0201,7,0.9642857142857145,1.0,1.0,0.9909264204490736
CatBoost residual + relational,NRC2016_banked_ram,FG0205,55,0.974763237649996,0.9836574891983528,0.8,0.9893068550733506
CatBoost residual + relational,NRC2016_usb_sio,FG0205,51,0.987685766911816,1.0,1.0,1.0
CatBoost residual + relational,NRC2016_z80,FG0205,57,0.9830162429383136,1.0,1.0,0.9999999999999999
CatBoost residual + relational,OpenHardwareExG_ActiveElectrode_OpenHardwareExG_ActiveElectrode,FG0219,10,0.9636363636363635,0.9765162180335044,0.8,0.9864636870225112
CatBoost residual + relational,Own-Mailbox-Hardware_eth,FG0226,107,0.854199729618527,0.9943909515061448,0.8,0.997204146352063
CatBoost residual + relational,Own-Mailbox-Hardware_mailbox,FG0226,107,0.8525441329179647,0.9942281737118516,0.8,0.997095483822189
CatBoost residual + relational,Own-Mailbox-Hardware_pierre,FG0226,113,0.9460542950296096,1.0000000000000002,1.0,0.9970630839610931
CatBoost residual + relational,Planet_Vocab,FG0243,21,0.9824156352759245,1.0,1.0,0.8559298525801177
CatBoost residual + relational,PocketBone_pocketbone-kicad,FG0246,74,0.96768604220659,1.0,1.0,0.9998683301019752
CatBoost residual + relational,Practicas-Curso-Kicad_Ej2,FG0248,22,0.953698475437606,0.9836699494498551,0.8,0.9902805465862017
CatBoost residual + relational,Practicas-Curso-Kicad_Ejercicio2,FG0248,22,0.9387179137390103,0.9498379306073348,0.8,0.9707564949057272
CatBoost residual + relational,Practicas-Curso-Kicad_Ejercicio_2,FG0248,22,0.9378881987577641,0.9784892212069126,0.8,0.9866792434415571
CatBoost residual + relational,Practicas-Curso-Kicad_Salguero_Federico2,FG0248,22,0.9220779220779223,0.9795091476031735,0.6,0.9856728961147827
CatBoost residual + relational,S1G-Mod_S1G_Mod_868,FG0273,73,0.984450203628286,0.986773604474185,0.6,0.9934022783095502
CatBoost residual + relational,SPEX_HAB_Mainboard_Hardware_Power,FG0279,68,0.9833568729243805,1.0,1.0,0.9959153396772692
CatBoost residual + relational,SPEX_HAB_Mainboard_Hardware_Spex-Mainboard-Hardware,FG0279,89,0.9918666661081752,0.9788412145602496,0.8,0.988068026356022
CatBoost residual + relational,SPEX_HAB_Mainboard_Hardware_Spex-Mainboard-Hardware_rev1,FG0279,89,0.9918666661081752,0.9788412145602496,0.8,0.988068026356022
CatBoost residual + relational,SPEX_HAB_Mainboard_Hardware__autosave-Power,FG0279,68,0.9833568729243805,1.0,1.0,0.9959153396772692
CatBoost residual + relational,SPEX_HAB_Mainboard_Hardware__autosave-Spex-Mainboard-Hardware,FG0279,89,0.9918666661081752,0.9790539256209398,0.8,0.9882796055012001
CatBoost residual + relational,Teensy-3.5-Breakout-Boaard_PropShield_Uno,FG0308,23,0.9626884405580749,0.9999999999999999,1.0,0.982988589038387
CatBoost residual + relational,Teensy-3.5-Breakout-Boaard_Teensy35Mega,FG0308,82,0.9476061427280941,0.983543940391421,0.8,0.9872560882246295
CatBoost residual + relational,Teensy-3.5-Breakout-Boaard_TeensyMegaIoShield,FG0308,78,0.9678606432141801,1.0,1.0,0.9999999999999998
CatBoost residual + relational,TinyTracker_ub-minimal,FG0314,42,0.9708289441698404,0.997048644654956,0.8,0.9985590266639806
CatBoost residual + relational,ToslinkCNC_Toslink PlanetCNC ECO shield,FG0315,16,0.8264705882352942,0.9334905853838924,0.6,0.9471898585355187
CatBoost residual + relational,ToslinkCNC__autosave-ToslinkCNC_OneAxis,FG0315,39,0.9708502024291498,0.9697780027907802,0.6,0.9830076993468623
CatBoost residual + relational,ToslinkCNC_toslink_arduino_shield,FG0315,24,0.9556521739130434,0.9645472230696388,0.8,0.9700182673354357
CatBoost residual + relational,arduino_arduino leds,FG0353,23,0.9278656126482213,0.6777873060935382,0.4,0.756741548364425
CatBoost residual + relational,board_armjtag_pmod_compatible_armjtag-pmod,FG0381,9,0.9666666666666667,0.9988528929507754,0.8,0.9992794252449613
CatBoost residual + relational,constant-current-h-bridge_constant_current_source,FG0403,39,0.986842105263158,0.9835637990969273,0.6,0.9852424611496804
CatBoost residual + relational,digital_clock_led_clock_3_and_4_digit,FG0414,81,0.9875790424570912,0.9985892341429095,0.8,0.9975034093499313
CatBoost residual + relational,digital_clock_led_clock_v1,FG0414,75,0.990583214793741,0.9723884758903413,0.8,0.9822364626090407
